"id","title","author_name","image_url","text_reviews_count"
"2767052","The Hunger Games (The Hunger Games, #1)","Suzanne Collins","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SX98_.jpg","172809"
"11870085","The Fault in Our Stars","John Green","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085._SX98_.jpg","156027"
"8442457","Gone Girl","Gillian Flynn","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339602131l/8442457._SX98_.jpg","133389"
"3","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SX98_.jpg","116930"
"19063","The Book Thief","Markus Zusak","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SX98_.jpg","113729"
"21840310","The Girl on the Train","Paula Hawkins","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412002798l/21840310._SX98_.jpg","110742"
"8306857","Divergent (Divergent, #1)","Veronica Roth","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873996l/8306857._SX98_.jpg","108586"
"41865","Twilight (Twilight, #1)","Stephenie Meyer","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865._SX98_.jpg","105057"
"7260188","Mockingjay (The Hunger Games, #3)","Suzanne Collins","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SX98_.jpg","104208"
"6148028","Catching Fire (The Hunger Games, #2)","Suzanne Collins","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SX98_.jpg","97295"
"2654","To Kill a Mockingbird","Harper Lee","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554368352l/2654._SX98_.jpg","93809"
"36809135","Where the Crawdads Sing","Delia Owens","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582135294l/36809135._SX98_.jpg","89769"
"9969571","Ready Player One (Ready Player One, #1)","Ernest Cline","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947l/9969571._SX98_.jpg","87822"
"4667024","The Help","Kathryn Stockett","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430l/4667024._SX98_.jpg","84868"
"864","The Alchemist","Paulo Coelho","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525247250l/864._SX98_.jpg","84031"
"12649671","Me Before You","Jojo Moyes","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328008504l/12649671._SX98_.jpg","83238"
"10818853","Fifty Shades of Grey (Fifty Shades, #1)","E.L. James","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843l/10818853._SX98_.jpg","78691"
"18143977","All the Light We Cannot See","Anthony Doerr","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977._SX98_.jpg","76312"
"2975","The Kite Runner","Khaled Hosseini","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388202055l/2975._SX98_.jpg","75582"
"9361589","The Night Circus","Erin Morgenstern","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618l/9361589._SX98_.jpg","74177"
"5470","1984","George Orwell","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348990566l/5470._SX98_.jpg","73826"
"16046182","The Martian","Andy Weir","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349001400l/16046182._SX98_.jpg","73369"
"5104","The Handmaid's Tale","Margaret Atwood","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333027729l/5104._SX98_.jpg","73235"
